Poll,Date,Sample,MoE,Democratic Party,Republican Party,Spread,Election Year
CNBC/Change Research (D)*CNBC*,9/18 - 9/20,1430 LV,2.6,51,42,Biden +9,2020
QuinnipiacQuinnipiac,9/17 - 9/21,1302 LV,2.7,52,42,Biden +10,2020
JTN/RMG Research*JTN/RMG*,9/17 - 9/19,773 LV,2.8,50,44,Biden +6,2020
IBD/TIPPIBD/TIPP,9/16 - 9/19,962 LV,3.3,50,44,Biden +6,2020
NBC News/Wall St. JrnlNBC/WSJ,9/13 - 9/16,1000 RV,3.1,51,43,Biden +8,2020
Economist/YouGovYouGov,9/13 - 9/15,1062 LV,3.8,51,42,Biden +9,2020
NPR/PBS/MaristNPR/PBS,9/11 - 9/16,723 LV,4.3,52,43,Biden +9,2020
Rasmussen ReportsRasmussen,9/9 - 9/15,2500 LV,2.0,46,47,Trump +1,2020
Reuters/IpsosReuters,9/11 - 9/15,859 LV,3.8,50,41,Biden +9,2020
The Hill/HarrisXThe Hill,9/10 - 9/14,3758 RV,1.6,45,39,Biden +6,2020
JTN/RMG Research*JTN/RMG*,9/10 - 9/12,941 LV,2.8,48,43,Biden +5,2020
FOX NewsFOX News,9/7 - 9/10,1191 LV,2.5,51,46,Biden +5,2020
Economist/YouGovYouGov,9/6 - 9/8,1057 LV,3.8,52,43,Biden +9,2020
USC DornsifeUSC,9/7 - 9/13,2648 LV,--,52,42,Biden +10,2020
The Hill/HarrisXThe Hill,9/5 - 9/8,2832 RV,1.8,47,39,Biden +8,2020
CNBC/Change Research (D)*CNBC*,9/4 - 9/6,1902 LV,2.3,49,43,Biden +6,2020
Monmouth*Monmouth*,9/3 - 9/8,758 LV,3.6,51,44,Biden +7,2020
Reuters/IpsosReuters,9/3 - 9/8,823 LV,3.9,52,40,Biden +12,2020
Rasmussen ReportsRasmussen,9/2 - 9/8,2500 LV,2.0,48,46,Biden +2,2020
CBS News/YouGovCBS News,9/2 - 9/4,2433 LV,--,52,42,Biden +10,2020
USC DornsifeUSC,8/31 - 9/6,2588 LV,--,52,42,Biden +10,2020
Harvard-HarrisHarris,8/31 - 9/2,LV,--,53,47,Biden +6,2020
Economist/YouGovYouGov,8/30 - 9/1,1207 RV,3.6,51,40,Biden +11,2020
IBD/TIPPIBD/TIPP,8/29 - 9/1,1033 RV,--,49,41,Biden +8,2020
CNNCNN,8/28 - 9/1,997 RV,4.0,51,43,Biden +8,2020
EmersonEmerson,8/30 - 8/31,1567 LV,2.4,49,47,Biden +2,2020
Reuters/IpsosReuters,8/28 - 9/1,1089 RV,3.4,47,40,Biden +7,2020
The Hill/HarrisXThe Hill,8/29 - 8/31,2834 RV,1.8,46,40,Biden +6,2020
USA Today/SuffolkUSA Today,8/28 - 8/31,1000 RV,3.1,50,43,Biden +7,2020
QuinnipiacQuinnipiac,8/28 - 8/31,1081 LV,3.0,52,42,Biden +10,2020
Rasmussen ReportsRasmussen,8/26 - 9/1,2500 LV,2.0,49,45,Biden +4,2020
Grinnell/SelzerSelzer,8/26 - 8/30,827 LV,3.4,49,41,Biden +8,2020
The Hill/HarrisXThe Hill,8/25 - 8/28,2862 RV,1.8,47,38,Biden +9,2020
Economist/YouGovYouGov,8/23 - 8/25,1254 RV,3.8,50,41,Biden +9,2020
The Hill/HarrisXThe Hill,8/22 - 8/25,2861 RV,1.8,47,38,Biden +9,2020
Rasmussen ReportsRasmussen,8/19 - 8/25,2500 LV,2.0,46,45,Biden +1,2020
CNBC/Change Research (D)*CNBC*,8/21 - 8/23,2362 LV,2.0,51,43,Biden +8,2020
CBS News/YouGovCBS News,8/20 - 8/22,934 LV,3.7,52,42,Biden +10,2020
Economist/YouGovYouGov,8/16 - 8/18,1246 RV,3.4,50,40,Biden +10,2020
The Hill/HarrisXThe Hill,8/15 - 8/18,2840 RV,1.8,46,38,Biden +8,2020
Rasmussen ReportsRasmussen,8/12 - 8/18,2500 LV,2.0,48,44,Biden +4,2020
The Hill/HarrisXThe Hill,8/11 - 8/14,2823 RV,1.8,45,39,Biden +6,2020
CNNCNN,8/12 - 8/15,987 RV,4.0,50,46,Biden +4,2020
ABC News/Wash PostABC/WP,8/12 - 8/15,707 LV,--,54,44,Biden +10,2020
CBS News/YouGovCBS News,8/12 - 8/14,2152 LV,2.4,52,42,Biden +10,2020
NBC News/Wall St. JrnlNBC/WSJ,8/9 - 8/12,900 RV,3.3,50,41,Biden +9,2020
FOX NewsFOX News,8/9 - 8/12,1000 RV,3.0,49,42,Biden +7,2020
Economist/YouGovYouGov,8/9 - 8/11,1208 RV,3.6,49,39,Biden +10,2020
The Hill/HarrisXThe Hill,8/8 - 8/11,2828 RV,1.8,44,40,Biden +4,2020
CNBC/Change Research (D)*CNBC*,8/7 - 8/9,2143 LV,2.1,50,44,Biden +6,2020
Monmouth*Monmouth*,8/6 - 8/10,785 RV,3.5,51,41,Biden +10,2020
Rasmussen ReportsRasmussen,8/5 - 8/11,2500 LV,2.0,49,43,Biden +6,2020
NPR/PBS/MaristNPR/PBS,8/3 - 8/11,1108 RV,3.6,53,42,Biden +11,2020
The Hill/HarrisXThe Hill,8/2 - 8/5,2850 RV,1.8,43,40,Biden +3,2020
GU Politics/BattlegroundGU Politics,8/1 - 8/6,1000 LV,3.1,53,40,Biden +13,2020
Economist/YouGovYouGov,8/2 - 8/4,1229 RV,3.3,49,40,Biden +9,2020
Rasmussen ReportsRasmussen,7/29 - 8/4,2500 LV,2.0,48,45,Biden +3,2020
EmersonEmerson,7/29 - 7/30,964 LV,3.1,50,46,Biden +4,2020
Economist/YouGovYouGov,7/26 - 7/28,1260 RV,3.4,49,40,Biden +9,2020
IBD/TIPPIBD/TIPP,7/25 - 7/28,1160 RV,3.1,48,41,Biden +7,2020
Rasmussen ReportsRasmussen,7/22 - 7/28,2500 LV,2.0,48,42,Biden +6,2020
CNBC/Change Research (D)*CNBC*,7/24 - 7/26,1039 LV,3.0,51,42,Biden +9,2020
CBS News/YouGovCBS News,7/21 - 7/24,1401 LV,--,51,41,Biden +10,2020
Harvard-HarrisHarris,7/21 - 7/23,1932 RV,--,55,45,Biden +10,2020
Economist/YouGovYouGov,7/19 - 7/21,1222 RV,3.2,48,41,Biden +7,2020
Rasmussen ReportsRasmussen,7/15 - 7/21,2500 LV,2.0,47,45,Biden +2,2020
The Hill/HarrisXThe Hill,7/17 - 7/20,2829 RV,1.8,45,38,Biden +7,2020
FOX NewsFOX News,7/12 - 7/15,1104 RV,3.0,49,41,Biden +8,2020
ABC News/Wash PostABC/WP,7/12 - 7/15,673 LV,--,54,44,Biden +10,2020
Economist/YouGovYouGov,7/12 - 7/14,1252 RV,3.3,49,40,Biden +9,2020
CNBC/Change Research (D)*CNBC*,7/10 - 7/12,1258 LV,2.8,51,41,Biden +10,2020
Rasmussen ReportsRasmussen,7/8 - 7/14,1500 LV,2.0,47,44,Biden +3,2020
QuinnipiacQuinnipiac,7/9 - 7/13,1273 RV,2.8,52,37,Biden +15,2020
NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/12,900 RV,3.3,51,40,Biden +11,2020
Economist/YouGovYouGov,7/5 - 7/7,1165 RV,3.6,49,40,Biden +9,2020
Rasmussen ReportsRasmussen,7/5 - 7/7,1500 LV,2.5,50,40,Biden +10,2020
The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43,39,Biden +4,2020
Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49,40,Biden +9,2020
IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48,40,Biden +8,2020
MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53,41,Biden +12,2020
CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49,41,Biden +8,2020
USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53,41,Biden +12,2020
NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52,44,Biden +8,2020
The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43,39,Biden +4,2020
Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49,41,Biden +8,2020
CNBCCNBC,6/19 - 6/22,800 RV,3.5,47,38,Biden +9,2020
NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50,36,Biden +14,2020
Harvard-HarrisHarris,6/17 - 6/18,LV,--,56,44,Biden +12,2020
Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50,41,Biden +9,2020
FOX NewsFOX News,6/13 - 6/16,1343 RV,2.5,50,38,Biden +12,2020
QuinnipiacQuinnipiac,6/11 - 6/15,1332 RV,2.7,49,41,Biden +8,2020
CNBC/Change Research (D)CNBC,6/10 - 6/12,1250 LV,2.8,51,41,Biden +10,2020
Economist/YouGovYouGov,6/7 - 6/9,1241 RV,3.4,49,41,Biden +8,2020
CNNCNN,6/2 - 6/5,1125 RV,3.6,55,41,Biden +14,2020
NPR/PBS/MaristNPR/PBS,6/2 - 6/3,958 RV,4.0,50,43,Biden +7,2020
EmersonEmerson,6/2 - 6/3,1431 RV,2.5,53,47,Biden +6,2020
The Hill/HarrisXThe Hill,6/1 - 6/4,2827 RV,1.8,47,37,Biden +10,2020
IBD/TIPPIBD/TIPP,5/31 - 6/3,964 RV,2.9,45,42,Biden +3,2020
NBC News/Wall St. JrnlNBC/WSJ,5/28 - 6/2,1000 RV,3.1,49,42,Biden +7,2020
Economist/YouGovYouGov,5/31 - 6/2,1244 RV,3.2,47,40,Biden +7,2020
CNBCCNBC,5/29 - 5/31,1457 LV,2.6,48,41,Biden +7,2020
MonmouthMonmouth,5/28 - 6/1,742 RV,3.6,52,41,Biden +11,2020
CBS News/YouGovCBS News,5/29 - 6/1,1486 LV,2.6,47,43,Biden +4,2020
ABC News/Wash PostABC/WP,5/25 - 5/28,835 RV,4.0,53,43,Biden +10,2020
Economist/YouGovYouGov,5/23 - 5/26,1157 RV,3.4,45,42,Biden +3,2020
FOX NewsFOX News,5/17 - 5/20,1207 RV,3.0,48,40,Biden +8,2020
Rasmussen ReportsRasmussen,5/18 - 5/19,1000 LV,3.0,48,43,Biden +5,2020
Economist/YouGovYouGov,5/17 - 5/19,1235 RV,3.2,47,42,Biden +5,2020
CNBCCNBC,5/15 - 5/17,1424 LV,2.6,48,45,Biden +3,2020
QuinnipiacQuinnipiac,5/14 - 5/18,1323 RV,2.7,50,39,Biden +11,2020
The Hill/HarrisXThe Hill,5/13 - 5/14,950 RV,3.2,42,41,Biden +1,2020
Harvard-HarrisHarris,5/13 - 5/14,1854 RV,2.0,53,47,Biden +6,2020
Economist/YouGovYouGov,5/10 - 5/12,1175 RV,3.4,47,43,Biden +4,2020
CNNCNN,5/7 - 5/10,1001 RV,3.7,51,46,Biden +5,2020
Economist/YouGovYouGov,5/3 - 5/5,1209 RV,3.3,46,42,Biden +4,2020
CNBCCNBC,5/1 - 5/3,1489 LV,2.5,47,44,Biden +3,2020
MonmouthMonmouth,4/30 - 5/4,739 RV,3.6,50,41,Biden +9,2020
CBS News/YouGovCBS News,4/28 - 5/1,1671 LV,2.5,49,43,Biden +6,2020
IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43,43,Tie ,2020
EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48,42,Biden +6,2020
Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47,41,Biden +6,2020
USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50,40,Biden +10,2020
Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48,42,Biden +6,2020
The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42,40,Biden +2,2020
NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49,42,Biden +7,2020
Harvard-HarrisHarris,4/14 - 4/16,LV,--,53,47,Biden +6,2020
Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48,43,Biden +5,2020
MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48,44,Biden +4,2020
FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42,42,Tie ,2020
Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48,42,Biden +6,2020
CNBCCNBC,4/3 - 4/6,604 RV,4.0,44,39,Biden +5,2020
CNNCNN,4/3 - 4/6,875 RV,3.9,53,42,Biden +11,2020
QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49,41,Biden +8,2020
IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47,41,Biden +6,2020
Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46,42,Biden +4,2020
Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47,43,Biden +4,2020
Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55,45,Biden +10,2020
ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49,47,Biden +2,2020
Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46,42,Biden +4,2020
FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49,40,Biden +9,2020
MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48,45,Biden +3,2020
EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53,47,Biden +6,2020
Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48,41,Biden +7,2020
NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52,43,Biden +9,2020
Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47,43,Biden +4,2020
CNNCNN,3/4 - 3/7,1084 RV,3.5,53,43,Biden +10,2020
QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52,41,Biden +11,2020
Harvard-HarrisHarris,2/26 - 2/28,2592 RV,--,55,45,Biden +10,2020
IBD/TIPPIBD/TIPP,2/20 - 2/29,839 RV,3.5,49,46,Biden +3,2020
FOX NewsFOX News,2/23 - 2/26,1000 RV,3.0,49,41,Biden +8,2020
CBS News/YouGovCBS News,2/20 - 2/22,10000 RV,1.2,47,45,Biden +2,2020
ABC News/Wash PostABC/WP,2/14 - 2/17,913 RV,4.0,52,45,Biden +7,2020
EmersonEmerson,2/16 - 2/18,1250 RV,2.7,48,52,Trump +4,2020
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,900 RV,3.3,52,44,Biden +8,2020
NPR/PBS/MaristNPR/PBS,2/13 - 2/16,1164 RV,3.7,50,44,Biden +6,2020
QuinnipiacQuinnipiac,2/5 - 2/9,1519 RV,2.5,50,43,Biden +7,2020
NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,1000 RV,3.1,50,44,Biden +6,2020
IBD/TIPPIBD/TIPP,1/23 - 1/30,856 RV,3.3,49,48,Biden +1,2020
EmersonEmerson,1/21 - 1/23,1128 RV,2.8,50,50,Tie ,2020
ABC News/Wash PostABC/WP,1/20 - 1/23,880 RV,4.0,50,46,Biden +4,2020
LA Times/USCLA Times,1/15 - 1/28,4869 RV,2.0,49,40,Biden +9,2020
FOX NewsFOX News,1/19 - 1/22,1005 RV,3.0,50,41,Biden +9,2020
CNNCNN,1/16 - 1/19,1051 RV,3.6,53,44,Biden +9,2020
IBD/TIPPIBD/TIPP,1/3 - 1/11,846 RV,3.3,48,46,Biden +2,2020
EmersonEmerson,12/15 - 12/17,1222 RV,2.7,52,48,Biden +4,2020
CNNCNN,12/12 - 12/15,888 RV,4.0,49,44,Biden +5,2020
USA Today/SuffolkUSA Today,12/10 - 12/14,1000 RV,3.0,41,44,Trump +3,2020
IBD/TIPPIBD/TIPP,12/5 - 12/14,849 RV,3.5,50,45,Biden +5,2020
FOX NewsFOX News,12/8 - 12/11,1000 RV,3.0,48,41,Biden +7,2020
QuinnipiacQuinnipiac,12/4 - 12/9,1553 RV,2.5,51,42,Biden +9,2020
SurveyUSASUSA,11/20 - 11/21,3850 RV,1.7,52,39,Biden +13,2020
EmersonEmerson,11/17 - 11/20,1092 RV,2.9,49,51,Trump +2,2020
NBC News/Wall St. JrnlNBC/WSJ,10/27 - 10/30,720 RV,3.7,50,41,Biden +9,2020
ABC News/Wash PostABC/WP,10/27 - 10/30,876 RV,4.0,56,39,Biden +17,2020
FOX NewsFOX News,10/27 - 10/30,1040 RV,3.0,51,39,Biden +12,2020
IBD/TIPPIBD/TIPP,10/24 - 10/31,863 RV,3.5,53,43,Biden +10,2020
EmersonEmerson,10/18 - 10/21,1000 RV,3.0,51,49,Biden +2,2020
CNNCNN,10/17 - 10/20,892 RV,4.0,53,43,Biden +10,2020
SurveyUSASUSA,10/15 - 10/16,3080 RV,2.1,52,41,Biden +11,2020
FOX NewsFOX News,10/6 - 10/8,1003 RV,3.0,50,40,Biden +10,2020
QuinnipiacQuinnipiac,10/4 - 10/7,1483 RV,3.1,51,40,Biden +11,2020
IBD/TIPPIBD/TIPP,9/26 - 10/3,863 RV,3.5,51,44,Biden +7,2020
Rasmussen ReportsRasmussen,9/23 - 9/24,1000 LV,3.0,43,47,Trump +4,2020
EmersonEmerson,9/21 - 9/23,1019 RV,3.0,50,49,Biden +1,2020
FOX NewsFOX News,9/15 - 9/17,1008 RV,3.0,52,38,Biden +14,2020
SurveyUSASUSA,9/13 - 9/16,4520 RV,1.6,49,41,Biden +8,2020
ABC News/Wash PostABC/WP,9/2 - 9/5,877 RV,4.0,55,40,Biden +15,2020
IBD/TIPPIBD/TIPP,8/22 - 8/30,848 RV,3.5,54,42,Biden +12,2020
EmersonEmerson,8/24 - 8/26,1458 RV,2.5,54,46,Biden +8,2020
QuinnipiacQuinnipiac,8/21 - 8/26,1422 RV,4.6,54,38,Biden +16,2020
FOX NewsFOX News,8/11 - 8/13,1013 RV,3.0,50,38,Biden +12,2020
SurveyUSASUSA,8/1 - 8/5,5459 RV,1.6,50,42,Biden +8,2020
IBD/TIPPIBD/TIPP,7/25 - 8/1,856 RV,3.5,54,41,Biden +13,2020
EmersonEmerson,7/27 - 7/29,1233 RV,2.7,51,49,Biden +2,2020
FOX NewsFOX News,7/21 - 7/23,1004 RV,3.0,49,39,Biden +10,2020
NBC News/Wall St. JrnlNBC/WSJ,7/7 - 7/9,800 RV,3.5,51,42,Biden +9,2020
EmersonEmerson,7/6 - 7/8,1100 RV,2.9,53,47,Biden +6,2020
ABC News/Wash PostABC/WP,6/28 - 7/1,875 RV,4.0,53,43,Biden +10,2020
Rasmussen ReportsRasmussen,6/23 - 7/2,4500 LV,1.5,48,44,Biden +4,2020
EmersonEmerson,6/21 - 6/24,1096 RV,2.9,55,45,Biden +10,2020
FOX NewsFOX News,6/9 - 6/12,1001 RV,3.0,49,39,Biden +10,2020
QuinnipiacQuinnipiac,6/6 - 6/10,1214 RV,3.5,53,40,Biden +13,2020
FOX NewsFOX News,5/11 - 5/14,1001 RV,3.0,49,38,Biden +11,2020
EmersonEmerson,5/10 - 5/13,1006 RV,3.0,54,46,Biden +8,2020
CNNCNN,4/25 - 4/29,470 RV,5.5,51,45,Biden +6,2020
The Hill/HarrisXThe Hill,4/25 - 4/26,1000 RV,3.1,43,37,Biden +6,2020
Politico/Morning ConsultPolitico,4/19 - 4/21,1992 RV,2.0,42,34,Biden +8,2020
EmersonEmerson,4/11 - 4/14,914 RV,3.2,53,47,Biden +6,2020
PPP (D)PPP (D),3/27 - 3/28,846 RV,3.4,53,40,Biden +13,2020
Rasmussen ReportsRasmussen,3/17 - 3/21,5000 LV,1.5,49,44,Biden +5,2020
FOX NewsFOX News,3/17 - 3/20,1002 RV,3.0,47,40,Biden +7,2020
EmersonEmerson,3/17 - 3/18,1153 RV,2.8,55,45,Biden +10,2020
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,55,45,Biden +10,2020
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,53,41,Biden +12,2020
PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,53,39,Biden +14,2020
PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,56,39,Biden +17,2020
PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,51,42,Biden +9,2020
CNNCNN,1/14 - 1/18,918 RV,3.8,57,40,Biden +17,2020
PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,54,40,Biden +14,2020
PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,56,38,Biden +18,2020
EmersonEmerson,10/12 - 10/14,820 RV,3.4,51,42,Biden +9,2020
PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,53,40,Biden +13,2020
PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51,39,Biden +12,2020
PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,54,39,Biden +15,2020
PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,54,41,Biden +13,2020
PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,54,40,Biden +14,2020
PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,54,40,Biden +14,2020
PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,54,40,Biden +14,2020
Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Election Year
Final Results,--,--,--,48.2,46.1,Clinton +2.1,2016
RCP Average,11/1 - 11/7,--,--,46.8,43.6,Clinton +3.2,2016
BloombergBloomberg,11/4 - 11/6,799 LV,3.5,46,43,Clinton +3,2016
